country,country_code,year,gov_exp_pct_gdp,lit_rate_adult_pct,pri_comp_rate_pct,pupil_teacher_primary,pupil_teacher_secondary,school_enrol_primary_pct,school_enrol_secondary_pct,school_enrol_tertiary_pct
Mozambique,MOZ,2017,5.48664999,61.0,49.80384064,52.43683,36.54379,112.0080719,37.01137924,7.240449905
Mozambique,MOZ,2018,5.389760017,,55.00016022,55.27379,,116.089798,30.33686508,7.454080105
Mozambique,MOZ,2019,6.286394119,,58.01353073,,,119.0659866,31.9430628,7.301475048
Myanmar,MMR,2015,2.245604277,,,,,,,
Myanmar,MMR,2016,2.158088446,75.55120087,,22.04141,24.04989,117.9385223,67.00341034,
Myanmar,MMR,2017,2.166529894,,,23.04535,26.41848,120.0536804,71.26007843,
Myanmar,MMR,2018,1.992490053,,103.5884323,24.3599,27.24679,118.8519974,75.64698029,20.3939209
Myanmar,MMR,2019,1.999760032,89.0,,,,,,
Namibia,NAM,2015,9.850768089,,,,,129.0005632,,20.01991081
Namibia,NAM,2016,10.59279442,,,,,130.0841748,,22.00239944
Namibia,NAM,2017,9.708672523,,,,,133.5256985,,23.35707092
Namibia,NAM,2018,8.881122589,,100.3201675,25.09173,,134.2438881,,24.9616394
Namibia,NAM,2019,9.3225317,,,,,135.1364323,,27.74831009
Nauru,NRU,2015,6.252603054,,,,,98.24104235,,
Nauru,NRU,2016,7.985621929,,120.4255295,40.17778,24.8,111.7428894,77.01863098,
Nauru,NRU,2017,6.810566425,,,,,,,
Nauru,NRU,2019,6.011013031,,102.2140198,,,100.0,86.36036682,
Nepal,NPL,2015,3.294253588,,110.8179932,23.09923,28.57148,142.9910284,68.92825317,13.20596313
Nepal,NPL,2016,3.477112293,65.50100708,117.1851578,22.42122,28.90357,143.414505,71.81790161,11.97053719
Nepal,NPL,2017,3.52892375,,120.8017273,20.90655,28.82411,140.8214111,73.94235229,12.11094952
Nepal,NPL,2018,3.664405584,,,,,,,13.00632668
Nepal,NPL,2019,3.485680819,68.71250153,118.2105103,19.74396,28.2567,136.6656647,79.31681824,13.92241192
Netherlands,NLD,2015,5.34815979,,,11.62356,14.46276,106.0594177,114.1379166,80.16014862
Netherlands,NLD,2016,5.479599953,,,11.72995,14.40346,105.6803665,112.994278,79.8454895
Netherlands,NLD,2017,5.17509985,,,11.80592,14.51694,105.0394211,115.2252274,83.20098877
Netherlands,NLD,2018,5.357649803,,,,,104.5611115,114.5003204,83.65247345
Netherlands,NLD,2019,5.159860134,,,,,104.5789108,114.8041687,
New Zealand,NZL,2015,5.707349777,,,14.49628,13.81545,98.53813934,114.8899918,82.18184662
New Zealand,NZL,2016,5.505599976,,,14.6225,13.8189,98.58374786,113.687912,81.86335754
New Zealand,NZL,2017,5.28000021,,,14.91552,13.62875,98.48043823,112.9433136,81.26985931
New Zealand,NZL,2018,5.193089962,,,,,98.55297089,112.4110794,81.25131226
New Zealand,NZL,2019,5.177979946,,,,,98.2542038,120.2663193,77.58437347
Nicaragua,NIC,2015,4.078430176,82.61454773,,,,107.6729504,,17.34163666
Nicaragua,NIC,2016,4.081130028,,,,,111.5967808,,17.77479935
Nicaragua,NIC,2017,4.357679844,,,,,112.852788,,
Nicaragua,NIC,2018,3.573108912,,,,,110.1575867,,19.30881119
Nicaragua,NIC,2019,4.599919796,,,,,108.9485213,,17.76761436
Niger,NER,2015,4.486690044,,70.86245728,36.6289,27.95952,74.57254791,20.8979702,3.430030107
Niger,NER,2016,2.958430052,,74.75330353,36.2582,26.73945,76.65022278,24.11795998,3.654769897
Niger,NER,2017,2.578180075,,65.79386902,36.33661,29.73171,78.17942047,25.3490696,3.898819923
Niger,NER,2018,3.449569941,,,,,70.63747893,,4.619810104
Niger,NER,2019,3.526227236,,65.3655014,,,69.77816772,,4.433390141
Nigeria,NGA,2015,0.436954916,,,,,83.74982706,45.60858154,
